"filename", "language", "CMake", "C++", "Dart", "Markdown", "YAML", "Ruby", "JSON", "Groovy", "Properties", "XML", "HTML", "Swift", "comment", "blank", "total"
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 6, 7, 45
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 11, 1, 46
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/images/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Podfile", "Ruby", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 10, 45
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
