Date : 2025-06-28 06:37:26
Directory : /Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app
Total : 73 files,  4188 codes, 646 comments, 582 blanks, all 5416 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         16 |      2,196 |        355 |        194 |      2,745 |
| C++        |         16 |        540 |        131 |        189 |        860 |
| XML        |         11 |        485 |         53 |         13 |        551 |
| CMake      |          8 |        461 |          0 |         92 |        553 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         69 |          6 |         15 |         90 |
| Ruby       |          2 |         65 |          4 |         20 |         89 |
| Swift      |          6 |         55 |          7 |         21 |         83 |
| YAML       |          2 |         29 |         75 |         18 |        122 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |         73 |      4,188 |        646 |        582 |      5,416 |
| . (Files)                                                                                                               |          3 |         39 |         75 |         25 |        139 |
| android                                                                                                                 |         12 |        143 |         57 |         26 |        226 |
| android (Files)                                                                                                         |          3 |         40 |          0 |          9 |         49 |
| android/app                                                                                                             |          8 |         98 |         57 |         16 |        171 |
| android/app (Files)                                                                                                     |          1 |         32 |          6 |          7 |         45 |
| android/app/src                                                                                                         |          7 |         66 |         51 |          9 |        126 |
| android/app/src/debug                                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                    |          5 |         60 |         43 |          7 |        110 |
| android/app/src/main (Files)                                                                                            |          1 |         34 |         11 |          1 |         46 |
| android/app/src/main/res                                                                                                |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                       |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                   |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                         |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                   |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| images                                                                                                                  |          1 |         15 |          0 |          1 |         16 |
| ios                                                                                                                     |          9 |        261 |          7 |         23 |        291 |
| ios (Files)                                                                                                             |          1 |         32 |          3 |         10 |         45 |
| ios/Runner                                                                                                              |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                      |          2 |         13 |          0 |          3 |         16 |
